Goal	Map#	Forward	Adaptive

No		1		-1		-1
No		2		-1		-1
No		3		-1		-1
No		4		-1		-1
Yes		5		1424		1423
Yes		6		1478		1665
Yes		7		1062		1000
No		8		-1		-1
Yes		9		1842		1732
No		10		-1		-1
No		11		-1		-1
Yes		12		1104		1183
No		13		-1		-1
Yes		14		989		989
No		15		-1		-1
Yes		16		2029		3568
No		17		-1		-1
No		18		-1		-1
Yes		19		1011		1102
No		20		-1		-1
Yes		21		1348		1336
No		22		-1		-1
Yes		23		1111		1126
Yes		24		1248		1260
No		25		-1		-1
No		26		-1		-1
Yes		27		1049		1055
Yes		28		1238		1220
Yes		29		1334		1314
No		30		-1		-1
No		31		-1		-1
No		32		-1		-1
No		33		-1		-1
Yes		34		2535		2504
Yes		35		2162		2089
Yes		36		1283		1242
Yes		37		2155		2075
Yes		38		1188		1125
No		39		-1		-1
No		40		-1		-1
No		41		-1		-1
Yes		42		2087		1928
Yes		43		1793		1792
No		44		-1		-1
No		45		-1		-1
Yes		46		1088		1088
No		47		-1		-1
Yes		48		1482		1498
No		49		-1		-1
No		50		-1		-1
